id_imagem,imagem,data_hora_hora_processamento,data_hora_registro,time_difference_seconds,num_lesoes
4390075,20250523-2009-1-0110-0431.jpg,2025-05-23 23:37:12,2025-05-23 23:37:00.221959,11.778041,1
4390074,20250523-2008-2-0110-0431.jpg,2025-05-23 23:37:05,2025-05-23 23:36:53.378999,11.621001,0
4390073,20250523-2008-1-0110-0431.jpg,2025-05-23 23:37:02,2025-05-23 23:36:51.729573,10.270427,7
4389970,20250523-1958-2-0110-0431.jpg,2025-05-23 23:01:21,2025-05-23 23:01:10.853259,10.146741,4
4389902,20250523-1925-1-0110-0431.jpg,2025-05-23 22:24:47,2025-05-23 22:24:36.177455,10.822545,8
4389822,20250523-1885-2-0110-0431.jpg,2025-05-23 22:08:25,2025-05-23 22:08:14.293472,10.706528,6
4389502,20250523-1730-1-0110-0431.jpg,2025-05-23 19:58:25,2025-05-23 19:58:14.733043,10.266957,5
4389477,20250523-1717-2-0110-0431.jpg,2025-05-23 19:53:59,2025-05-23 19:53:48.958003,10.041997,4
4389373,20250523-1666-1-0110-0431.jpg,2025-05-23 19:30:04,2025-05-23 19:29:53.616707,10.383293,7
4389358,20250523-1658-2-0110-0431.jpg,2025-05-23 19:23:49,2025-05-23 19:23:38.460929,10.539071,6
4389353,20250523-1656-1-0110-0431.jpg,2025-05-23 19:23:01,2025-05-23 19:22:50.733102,10.266898,5
4389276,20250523-1619-1-0110-0431.jpg,2025-05-23 19:07:41,2025-05-23 19:07:30.171265,10.828735,6
4389210,20250523-1587-1-0110-0431.jpg,2025-05-23 18:55:29,2025-05-23 18:55:18.838722,10.161278,4
4389181,20250523-1572-2-0110-0431.jpg,2025-05-23 18:27:31,2025-05-23 18:27:20.680725,10.319275,5
4389136,20250523-1550-1-0110-0431.jpg,2025-05-23 18:20:11,2025-05-23 18:20:00.494263,10.505737,5
4389074,20250523-1520-2-0110-0431.jpg,2025-05-23 18:06:27,2025-05-23 18:06:16.917646,10.082354,3
4389063,20250523-1515-1-0110-0431.jpg,2025-05-23 17:59:48,2025-05-23 17:59:37.849279,10.150721,3
4389006,20250523-1488-1-0110-0431.jpg,2025-05-23 17:49:19,2025-05-23 17:49:07.502541,11.497459,7
4388935,20250523-1453-2-0110-0431.jpg,2025-05-23 17:37:16,2025-05-23 17:37:05.904612,10.095388,4
4388864,20250523-1419-1-0110-0431.jpg,2025-05-23 17:24:04,2025-05-23 17:23:53.597106,10.402894,3
4388738,20250523-1356-1-0110-0431.jpg,2025-05-23 16:56:31,2025-05-23 16:56:20.749047,10.250953,4
4388635,20250523-1305-2-0110-0431.jpg,2025-05-23 16:13:17,2025-05-23 16:13:05.834549,11.165451,5
4388632,20250523-1304-1-0110-0431.jpg,2025-05-23 16:12:48,2025-05-23 16:12:36.937791,11.062209,4
