id_imagem,imagem,data_hora_hora_processamento,data_hora_registro,time_difference_seconds,num_lesoes
4317842,20250502-2089-2-0110-0431.jpg,2025-05-02 23:59:59,2025-05-02 23:59:37.211156,21.788844,2
4317841,20250502-2089-1-0110-0431.jpg,2025-05-02 23:59:43,2025-05-02 23:59:22.626361,20.373639,0
4317840,20250502-2088-2-0110-0431.jpg,2025-05-02 23:59:28,2025-05-02 23:59:07.174707,20.825293,1
4317839,20250502-2088-1-0110-0431.jpg,2025-05-02 23:59:13,2025-05-02 23:58:53.718207,19.281793,0
4317838,20250502-2087-2-0110-0431.jpg,2025-05-02 23:58:58,2025-05-02 23:58:40.395511,17.604489,1
4317837,20250502-2087-1-0110-0431.jpg,2025-05-02 23:58:47,2025-05-02 23:58:25.518930,21.48107,5
4317836,20250502-2086-2-0110-0431.jpg,2025-05-02 23:58:27,2025-05-02 23:58:11.175580,15.82442,0
4317835,20250502-2086-1-0110-0431.jpg,2025-05-02 23:58:16,2025-05-02 23:57:57.208242,18.791758,1
4317834,20250502-2085-2-0110-0431.jpg,2025-05-02 23:58:01,2025-05-02 23:57:43.426664,17.573336,0
4317833,20250502-2085-1-0110-0431.jpg,2025-05-02 23:57:50,2025-05-02 23:57:29.408552,20.591448,1
4317832,20250502-2084-2-0110-0431.jpg,2025-05-02 23:57:35,2025-05-02 23:57:14.515082,20.484918,2
4317831,20250502-2084-1-0110-0431.jpg,2025-05-02 23:57:20,2025-05-02 23:56:59.382938,20.617062,3
4317830,20250502-2083-2-0110-0431.jpg,2025-05-02 23:57:06,2025-05-02 23:56:44.084083,21.915917,2
4317829,20250502-2083-1-0110-0431.jpg,2025-05-02 23:56:51,2025-05-02 23:56:29.348680,21.65132,1
4317828,20250502-2082-2-0110-0431.jpg,2025-05-02 23:56:32,2025-05-02 23:56:15.159885,16.840115,0
4317827,20250502-2082-1-0110-0431.jpg,2025-05-02 23:56:20,2025-05-02 23:56:01.215673,18.784327,1
4317826,20250502-2081-2-0110-0431.jpg,2025-05-02 23:56:02,2025-05-02 23:55:45.646416,16.353584,0
4317825,20250502-2081-1-0110-0431.jpg,2025-05-02 23:55:50,2025-05-02 23:55:31.228229,18.771771,0
4317824,20250502-2080-2-0110-0431.jpg,2025-05-02 23:55:36,2025-05-02 23:55:16.509477,19.490523,0
4317823,20250502-2080-1-0110-0431.jpg,2025-05-02 23:55:21,2025-05-02 23:55:00.968326,20.031674,2
4317822,20250502-2079-2-0110-0431.jpg,2025-05-02 23:55:08,2025-05-02 23:54:46.315645,21.684355,3
4317821,20250502-2079-1-0110-0431.jpg,2025-05-02 23:54:52,2025-05-02 23:54:30.715334,21.284666,0
4317820,20250502-2078-2-0110-0431.jpg,2025-05-02 23:54:37,2025-05-02 23:54:15.015208,21.984792,3
4317819,20250502-2078-1-0110-0431.jpg,2025-05-02 23:54:21,2025-05-02 23:54:00.672843,20.327157,2
4317818,20250502-2077-2-0110-0431.jpg,2025-05-02 23:54:06,2025-05-02 23:53:45.020456,20.979544,0
4317817,20250502-2077-1-0110-0431.jpg,2025-05-02 23:53:51,2025-05-02 23:53:30.432369,20.567631,3
4317816,20250502-2076-2-0110-0431.jpg,2025-05-02 23:53:35,2025-05-02 23:53:15.738260,19.26174,1
4317815,20250502-2076-1-0110-0431.jpg,2025-05-02 23:53:20,2025-05-02 23:53:02.698266,17.301734,1
4317814,20250502-2075-2-0110-0431.jpg,2025-05-02 23:53:05,2025-05-02 23:52:47.879346,17.120654,0
4317813,20250502-2075-1-0110-0431.jpg,2025-05-02 23:52:53,2025-05-02 23:52:33.992833,19.007167,2
4317812,20250502-2074-2-0110-0431.jpg,2025-05-02 23:52:38,2025-05-02 23:52:19.260276,18.739724,1
4317811,20250502-2074-1-0110-0431.jpg,2025-05-02 23:52:23,2025-05-02 23:52:05.214911,17.785089,0
4317810,20250502-2073-2-0110-0431.jpg,2025-05-02 23:52:11,2025-05-02 23:51:49.710085,21.289915,1
4317809,20250502-2073-1-0110-0431.jpg,2025-05-02 23:51:56,2025-05-02 23:51:36.683212,19.316788,1
4317808,20250502-2072-2-0110-0431.jpg,2025-05-02 23:51:41,2025-05-02 23:51:22.817620,18.18238,1
4317807,20250502-2072-1-0110-0431.jpg,2025-05-02 23:51:29,2025-05-02 23:51:08.201177,20.798823,0
4317806,20250502-2071-2-0110-0431.jpg,2025-05-02 23:51:12,2025-05-02 23:50:55.011237,16.988763,0
4317805,20250502-2071-1-0110-0431.jpg,2025-05-02 23:51:00,2025-05-02 23:50:40.065112,19.934888,0
