id_imagem,imagem,data_hora_hora_processamento,data_hora_registro,time_difference_seconds,num_lesoes
3435311,20250514-1425-2-0110-0791.jpg,2025-05-14 23:28:45,2025-05-14 23:28:32.898133,12.101867,1
3435310,20250514-1425-1-0110-0791.jpg,2025-05-14 23:28:25,2025-05-14 23:28:13.577350,11.42265,0
3435309,20250514-1424-2-0110-0791.jpg,2025-05-14 23:28:16,2025-05-14 23:28:04.238660,11.76134,0
3435308,20250514-1424-1-0110-0791.jpg,2025-05-14 23:28:08,2025-05-14 23:27:55.099230,12.90077,0
3435307,20250514-1423-2-0110-0791.jpg,2025-05-14 23:27:59,2025-05-14 23:27:45.713840,13.28616,3
3435306,20250514-1423-1-0110-0791.jpg,2025-05-14 23:27:50,2025-05-14 23:27:35.486175,14.513825,3
3435305,20250514-1422-2-0110-0791.jpg,2025-05-14 23:27:38,2025-05-14 23:27:26.016655,11.983345,3
3435304,20250514-1422-1-0110-0791.jpg,2025-05-14 23:27:31,2025-05-14 23:27:16.714541,14.285459,4
3435303,20250514-1421-2-0110-0791.jpg,2025-05-14 23:27:19,2025-05-14 23:27:06.791481,12.208519,0
3435302,20250514-1421-1-0110-0791.jpg,2025-05-14 23:26:59,2025-05-14 23:26:47.399041,11.600959,3
3435301,20250514-1420-2-0110-0791.jpg,2025-05-14 23:26:50,2025-05-14 23:26:38.006864,11.993136,3
3435300,20250514-1420-1-0110-0791.jpg,2025-05-14 23:26:41,2025-05-14 23:26:28.553400,12.4466,1
3435299,20250514-1419-2-0110-0791.jpg,2025-05-14 23:26:32,2025-05-14 23:26:18.960105,13.039895,3
3435298,20250514-1419-1-0110-0791.jpg,2025-05-14 23:26:24,2025-05-14 23:26:09.296199,14.703801,4
3435297,20250514-1418-2-0110-0791.jpg,2025-05-14 23:26:12,2025-05-14 23:25:59.426251,12.573749,0
3435296,20250514-1418-1-0110-0791.jpg,2025-05-14 23:26:03,2025-05-14 23:25:50.072080,12.92792,1
3435295,20250514-1417-2-0110-0791.jpg,2025-05-14 23:25:52,2025-05-14 23:25:40.152932,11.847068,1
3435294,20250514-1417-1-0110-0791.jpg,2025-05-14 23:25:43,2025-05-14 23:25:30.623787,12.376213,3
3435293,20250514-1416-2-0110-0791.jpg,2025-05-14 23:25:34,2025-05-14 23:25:21.351536,12.648464,1
3435292,20250514-1416-1-0110-0791.jpg,2025-05-14 23:25:25,2025-05-14 23:25:11.571414,13.428586,2
3435291,20250514-1415-2-0110-0791.jpg,2025-05-14 23:25:07,2025-05-14 23:24:55.024826,11.975174,1
3435290,20250514-1415-1-0110-0791.jpg,2025-05-14 23:24:58,2025-05-14 23:24:45.193309,12.806691,2
3435289,20250514-1414-2-0110-0791.jpg,2025-05-14 23:24:49,2025-05-14 23:24:35.724199,13.275801,1
3435288,20250514-1414-1-0110-0791.jpg,2025-05-14 23:24:38,2025-05-14 23:24:26.276959,11.723041,1
3435287,20250514-1413-2-0110-0791.jpg,2025-05-14 23:24:16,2025-05-14 23:24:02.962570,13.03743,2
3435286,20250514-1413-1-0110-0791.jpg,2025-05-14 23:24:05,2025-05-14 23:23:51.465032,13.534968,4
3435285,20250514-1412-2-0110-0791.jpg,2025-05-14 23:23:53,2025-05-14 23:23:40.748672,12.251328,0
3435284,20250514-1412-1-0110-0791.jpg,2025-05-14 23:23:42,2025-05-14 23:23:28.986775,13.013225,1
3435283,20250514-1411-2-0110-0791.jpg,2025-05-14 23:23:30,2025-05-14 23:23:17.675966,12.324034,2
3435282,20250514-1411-1-0110-0791.jpg,2025-05-14 23:23:08,2025-05-14 23:22:55.081711,12.918289,0
3435281,20250514-1410-2-0110-0791.jpg,2025-05-14 23:22:57,2025-05-14 23:22:43.815076,13.184924,3
3435280,20250514-1410-1-0110-0791.jpg,2025-05-14 23:22:46,2025-05-14 23:22:32.394642,13.605358,2
