id_imagem,imagem,data_hora_hora_processamento,data_hora_registro,time_difference_seconds,num_lesoes
3197702,20250127-1259-2-0110-0791.jpg,2025-01-27 23:11:14,2025-01-27 23:11:02.234696,11.765304,0
3197701,20250127-1259-1-0110-0791.jpg,2025-01-27 23:10:46,2025-01-27 23:10:34.693809,11.306191,0
3197602,20250127-1209-2-0110-0791.jpg,2025-01-27 22:39:29,2025-01-27 22:39:18.779152,10.220848,0
3197574,20250127-1195-2-0110-0791.jpg,2025-01-27 21:29:34,2025-01-27 21:29:23.999492,10.000508,0
3197526,20250127-1171-2-0110-0791.jpg,2025-01-27 21:16:19,2025-01-27 21:16:08.073056,10.926944,0
3197525,20250127-1171-1-0110-0791.jpg,2025-01-27 21:16:09,2025-01-27 21:15:56.295879,12.704121,0
3197524,20250127-1170-2-0110-0791.jpg,2025-01-27 21:15:58,2025-01-27 21:15:44.832873,13.167127,0
3197437,20250127-1127-1-0110-0791.jpg,2025-01-27 20:53:25,2025-01-27 20:53:14.902901,10.097099,0
3197418,20250127-1117-2-0110-0791.jpg,2025-01-27 20:48:37,2025-01-27 20:48:26.772509,10.227491,0
3197412,20250127-1114-2-0110-0791.jpg,2025-01-27 20:46:34,2025-01-27 20:46:23.471429,10.528571,0
3197366,20250127-1091-2-0110-0791.jpg,2025-01-27 20:34:36,2025-01-27 20:34:22.534115,13.465885,0
3197365,20250127-1091-1-0110-0791.jpg,2025-01-27 20:34:24,2025-01-27 20:34:11.571870,12.42813,0
3197364,20250127-1090-2-0110-0791.jpg,2025-01-27 20:34:11,2025-01-27 20:34:00.096292,10.903708,0
3197356,20250127-1086-2-0110-0791.jpg,2025-01-27 20:31:14,2025-01-27 20:31:02.193219,11.806781,0
3197355,20250127-1086-1-0110-0791.jpg,2025-01-27 20:31:03,2025-01-27 20:30:50.507219,12.492781,0
3197354,20250127-1085-2-0110-0791.jpg,2025-01-27 20:30:43,2025-01-27 20:30:30.607026,12.392974,0
3197353,20250127-1085-1-0110-0791.jpg,2025-01-27 20:30:29,2025-01-27 20:30:18.450773,10.549227,0
3197352,20250127-1084-2-0110-0791.jpg,2025-01-27 20:30:20,2025-01-27 20:30:06.415512,13.584488,0
3197351,20250127-1084-1-0110-0791.jpg,2025-01-27 20:30:08,2025-01-27 20:29:55.057463,12.942537,0
3197350,20250127-1083-2-0110-0791.jpg,2025-01-27 20:29:57,2025-01-27 20:29:43.512804,13.487196,0
3197349,20250127-1083-1-0110-0791.jpg,2025-01-27 20:29:46,2025-01-27 20:29:30.755750,15.24425,0
3197348,20250127-1082-2-0110-0791.jpg,2025-01-27 20:29:31,2025-01-27 20:29:19.641527,11.358473,0
3197347,20250127-1082-1-0110-0791.jpg,2025-01-27 20:29:19,2025-01-27 20:29:07.652699,11.347301,0
3197346,20250127-1081-2-0110-0791.jpg,2025-01-27 20:29:06,2025-01-27 20:28:55.314539,10.685461,0
3197343,20250127-1080-1-0110-0791.jpg,2025-01-27 20:28:31,2025-01-27 20:28:20.704930,10.29507,0
3197284,20250127-1050-2-0110-0791.jpg,2025-01-27 20:13:22,2025-01-27 20:13:11.878523,10.121477,0
3197090,20250127-0953-2-0110-0791.jpg,2025-01-27 19:20:31,2025-01-27 19:20:20.850780,10.14922,0
3197080,20250127-0948-2-0110-0791.jpg,2025-01-27 19:16:24,2025-01-27 19:16:13.847896,10.152104,0
3197060,20250127-0938-2-0110-0791.jpg,2025-01-27 18:40:37,2025-01-27 18:40:26.912976,10.087024,0
3196994,20250127-0905-2-0110-0791.jpg,2025-01-27 18:26:34,2025-01-27 18:26:23.924267,10.075733,0
3196951,20250127-0884-1-0110-0791.jpg,2025-01-27 18:16:35,2025-01-27 18:16:24.746947,10.253053,0
3196925,20250127-0871-1-0110-0791.jpg,2025-01-27 18:09:31,2025-01-27 18:09:20.812053,10.187947,0
3196921,20250127-0869-1-0110-0791.jpg,2025-01-27 18:08:36,2025-01-27 18:08:25.692192,10.307808,0
3196917,20250127-0867-1-0110-0791.jpg,2025-01-27 18:07:49,2025-01-27 18:07:38.937360,10.06264,0
3196879,20250127-0848-1-0110-0791.jpg,2025-01-27 17:56:19,2025-01-27 17:56:08.991686,10.008314,0
3196875,20250127-0846-1-0110-0791.jpg,2025-01-27 17:55:32,2025-01-27 17:55:21.818593,10.181407,0
3196871,20250127-0844-1-0110-0791.jpg,2025-01-27 17:54:22,2025-01-27 17:54:11.605445,10.394555,0
3196868,20250127-0842-2-0110-0791.jpg,2025-01-27 17:53:15,2025-01-27 17:53:04.960273,10.039727,0
3196829,20250127-0823-1-0110-0791.jpg,2025-01-27 17:40:29,2025-01-27 17:40:18.860012,10.139988,0
3196813,20250127-0815-1-0110-0791.jpg,2025-01-27 17:36:10,2025-01-27 17:35:59.739319,10.260681,0
3196757,20250127-0787-1-0110-0791.jpg,2025-01-27 17:19:08,2025-01-27 17:18:57.807287,10.192713,0
3196738,20250127-0777-2-0110-0791.jpg,2025-01-27 17:12:08,2025-01-27 17:11:56.782516,11.217484,0
3196737,20250127-0777-1-0110-0791.jpg,2025-01-27 17:11:59,2025-01-27 17:11:46.324105,12.675895,0
3196736,20250127-0776-2-0110-0791.jpg,2025-01-27 17:11:48,2025-01-27 17:11:35.837538,12.162462,0
3196735,20250127-0776-1-0110-0791.jpg,2025-01-27 17:11:36,2025-01-27 17:11:25.382225,10.617775,0
3196714,20250127-0765-2-0110-0791.jpg,2025-01-27 16:57:31,2025-01-27 16:57:20.962370,10.03763,0
