id_imagem,imagem,data_hora_hora_processamento,data_hora_registro,time_difference_seconds,num_lesoes
3296297,20250311-1346-1-0110-0791.jpg,2025-03-11 23:59:51,2025-03-11 23:59:40.409493,10.590507,3
3296296,20250311-1345-2-0110-0791.jpg,2025-03-11 23:59:26,2025-03-11 23:59:13.555840,12.44416,6
3296295,20250311-1345-1-0110-0791.jpg,2025-03-11 23:58:52,2025-03-11 23:58:39.211339,12.788661,4
3296294,20250311-1344-2-0110-0791.jpg,2025-03-11 23:58:40,2025-03-11 23:58:27.548110,12.45189,3
3296293,20250311-1344-1-0110-0791.jpg,2025-03-11 23:58:27,2025-03-11 23:58:15.505435,11.494565,1
3296292,20250311-1343-2-0110-0791.jpg,2025-03-11 23:58:15,2025-03-11 23:58:03.956305,11.043695,0
3296291,20250311-1343-1-0110-0791.jpg,2025-03-11 23:58:03,2025-03-11 23:57:51.494166,11.505834,1
3296290,20250311-1342-2-0110-0791.jpg,2025-03-11 23:57:51,2025-03-11 23:57:40.384176,10.615824,2
3296289,20250311-1342-1-0110-0791.jpg,2025-03-11 23:57:41,2025-03-11 23:57:28.116697,12.883303,4
3296288,20250311-1341-2-0110-0791.jpg,2025-03-11 23:57:11,2025-03-11 23:57:00.370022,10.629978,2
3296287,20250311-1341-1-0110-0791.jpg,2025-03-11 23:56:59,2025-03-11 23:56:48.103801,10.896199,1
3296286,20250311-1340-2-0110-0791.jpg,2025-03-11 23:56:36,2025-03-11 23:56:25.077996,10.922004,2
3296285,20250311-1340-1-0110-0791.jpg,2025-03-11 23:56:26,2025-03-11 23:56:13.386398,12.613602,5
3296284,20250311-1339-2-0110-0791.jpg,2025-03-11 23:56:14,2025-03-11 23:56:01.561992,12.438008,3
3296283,20250311-1339-1-0110-0791.jpg,2025-03-11 23:55:48,2025-03-11 23:55:36.651965,11.348035,0
3296282,20250311-1338-2-0110-0791.jpg,2025-03-11 23:55:35,2025-03-11 23:55:23.453131,11.546869,0
3296281,20250311-1338-1-0110-0791.jpg,2025-03-11 23:55:23,2025-03-11 23:55:11.128956,11.871044,4
3296280,20250311-1337-2-0110-0791.jpg,2025-03-11 23:55:11,2025-03-11 23:54:59.963701,11.036299,1
3296279,20250311-1337-1-0110-0791.jpg,2025-03-11 23:55:00,2025-03-11 23:54:48.166338,11.833662,3
3296278,20250311-1336-2-0110-0791.jpg,2025-03-11 23:54:47,2025-03-11 23:54:35.862017,11.137983,1
