id_imagem,imagem,data_hora_hora_processamento,data_hora_registro,time_difference_seconds,num_lesoes
3348719,20250403-1351-1-0110-0791.jpg,2025-04-03 23:59:47,2025-04-03 23:59:36.594876,10.405124,3
3348718,20250403-1350-2-0110-0791.jpg,2025-04-03 23:59:06,2025-04-03 23:58:54.329864,11.670136,2
3348717,20250403-1350-1-0110-0791.jpg,2025-04-03 23:58:54,2025-04-03 23:58:42.574593,11.425407,3
3348716,20250403-1349-2-0110-0791.jpg,2025-04-03 23:58:43,2025-04-03 23:58:30.699302,12.300698,1
3348715,20250403-1349-1-0110-0791.jpg,2025-04-03 23:58:31,2025-04-03 23:58:19.000040,11.99996,1
3348714,20250403-1348-2-0110-0791.jpg,2025-04-03 23:58:16,2025-04-03 23:58:03.016706,12.983294,1
3348713,20250403-1348-1-0110-0791.jpg,2025-04-03 23:58:03,2025-04-03 23:57:51.605230,11.39477,0
3348712,20250403-1347-2-0110-0791.jpg,2025-04-03 23:57:37,2025-04-03 23:57:25.391846,11.608154,1
3348711,20250403-1347-1-0110-0791.jpg,2025-04-03 23:57:21,2025-04-03 23:57:09.773341,11.226659,0
3348710,20250403-1346-2-0110-0791.jpg,2025-04-03 23:57:10,2025-04-03 23:56:57.970982,12.029018,1
3348709,20250403-1346-1-0110-0791.jpg,2025-04-03 23:56:57,2025-04-03 23:56:46.266188,10.733812,1
3348708,20250403-1345-2-0110-0791.jpg,2025-04-03 23:56:13,2025-04-03 23:56:00.951579,12.048421,0
3348707,20250403-1345-1-0110-0791.jpg,2025-04-03 23:56:00,2025-04-03 23:55:49.289799,10.710201,0
3348706,20250403-1344-2-0110-0791.jpg,2025-04-03 23:55:26,2025-04-03 23:55:13.879968,12.120032,1
3348705,20250403-1344-1-0110-0791.jpg,2025-04-03 23:55:14,2025-04-03 23:55:02.745640,11.25436,1
3348704,20250403-1343-2-0110-0791.jpg,2025-04-03 23:55:02,2025-04-03 23:54:50.830158,11.169842,5
3348703,20250403-1343-1-0110-0791.jpg,2025-04-03 23:54:51,2025-04-03 23:54:39.169958,11.830042,2
3348702,20250403-1342-2-0110-0791.jpg,2025-04-03 23:54:38,2025-04-03 23:54:27.428401,10.571599,2
3348701,20250403-1342-1-0110-0791.jpg,2025-04-03 23:53:34,2025-04-03 23:53:22.591545,11.408455,1
3348700,20250403-1341-2-0110-0791.jpg,2025-04-03 23:53:24,2025-04-03 23:53:10.742297,13.257703,1
3348699,20250403-1341-1-0110-0791.jpg,2025-04-03 23:53:11,2025-04-03 23:52:58.471967,12.528033,2
3348698,20250403-1340-2-0110-0791.jpg,2025-04-03 23:52:16,2025-04-03 23:52:04.949907,11.050093,0
3348697,20250403-1340-1-0110-0791.jpg,2025-04-03 23:51:59,2025-04-03 23:51:47.380907,11.619093,0
3348696,20250403-1339-2-0110-0791.jpg,2025-04-03 23:51:40,2025-04-03 23:51:27.673226,12.326774,1
3348695,20250403-1339-1-0110-0791.jpg,2025-04-03 23:51:27,2025-04-03 23:51:15.913579,11.086421,0
3348694,20250403-1338-2-0110-0791.jpg,2025-04-03 23:51:16,2025-04-03 23:51:04.181236,11.818764,2
3348693,20250403-1338-1-0110-0791.jpg,2025-04-03 23:50:57,2025-04-03 23:50:46.241674,10.758326,2
3348692,20250403-1337-2-0110-0791.jpg,2025-04-03 23:50:12,2025-04-03 23:50:01.243281,10.756719,1
3348691,20250403-1337-1-0110-0791.jpg,2025-04-03 23:50:02,2025-04-03 23:49:49.308763,12.691237,3
3348690,20250403-1336-2-0110-0791.jpg,2025-04-03 23:49:49,2025-04-03 23:49:37.534484,11.465516,2
3348689,20250403-1336-1-0110-0791.jpg,2025-04-03 23:49:38,2025-04-03 23:49:25.818520,12.18148,0
3348688,20250403-1335-2-0110-0791.jpg,2025-04-03 23:49:26,2025-04-03 23:49:14.022718,11.977282,2
3348687,20250403-1335-1-0110-0791.jpg,2025-04-03 23:49:13,2025-04-03 23:49:02.331996,10.668004,6
3348686,20250403-1334-2-0110-0791.jpg,2025-04-03 23:48:39,2025-04-03 23:48:26.888714,12.111286,3
3348685,20250403-1334-1-0110-0791.jpg,2025-04-03 23:48:26,2025-04-03 23:48:15.624908,10.375092,2
3348684,20250403-1333-2-0110-0791.jpg,2025-04-03 23:48:14,2025-04-03 23:48:03.783488,10.216512,2
3348683,20250403-1333-1-0110-0791.jpg,2025-04-03 23:48:04,2025-04-03 23:47:52.144433,11.855567,3
3348682,20250403-1332-2-0110-0791.jpg,2025-04-03 23:47:51,2025-04-03 23:47:40.428815,10.571185,4
3348681,20250403-1332-1-0110-0791.jpg,2025-04-03 23:47:41,2025-04-03 23:47:28.716936,12.283064,1
3348680,20250403-1331-2-0110-0791.jpg,2025-04-03 23:47:28,2025-04-03 23:47:16.861476,11.138524,0
3348679,20250403-1331-1-0110-0791.jpg,2025-04-03 23:47:06,2025-04-03 23:46:54.883902,11.116098,0
3348678,20250403-1330-2-0110-0791.jpg,2025-04-03 23:46:56,2025-04-03 23:46:43.067245,12.932755,3
3348677,20250403-1330-1-0110-0791.jpg,2025-04-03 23:46:43,2025-04-03 23:46:31.288162,11.711838,3
3348676,20250403-1329-2-0110-0791.jpg,2025-04-03 23:46:32,2025-04-03 23:46:19.518858,12.481142,3
3348675,20250403-1329-1-0110-0791.jpg,2025-04-03 23:46:19,2025-04-03 23:46:08.107805,10.892195,5
3348674,20250403-1328-2-0110-0791.jpg,2025-04-03 23:45:43,2025-04-03 23:45:32.331512,10.668488,0
3348673,20250403-1328-1-0110-0791.jpg,2025-04-03 23:44:11,2025-04-03 23:43:57.797504,13.202496,1
3348672,20250403-1327-2-0110-0791.jpg,2025-04-03 23:43:58,2025-04-03 23:43:46.073456,11.926544,0
3348671,20250403-1327-1-0110-0791.jpg,2025-04-03 23:43:47,2025-04-03 23:43:34.695834,12.304166,2
3348670,20250403-1326-2-0110-0791.jpg,2025-04-03 23:43:34,2025-04-03 23:43:23.080785,10.919215,4
3348669,20250403-1326-1-0110-0791.jpg,2025-04-03 23:43:24,2025-04-03 23:43:11.238501,12.761499,4
3348668,20250403-1325-2-0110-0791.jpg,2025-04-03 23:43:11,2025-04-03 23:42:59.598394,11.401606,1
3348667,20250403-1325-1-0110-0791.jpg,2025-04-03 23:43:00,2025-04-03 23:42:47.678789,12.321211,3
3348666,20250403-1324-2-0110-0791.jpg,2025-04-03 23:42:47,2025-04-03 23:42:35.965429,11.034571,1
3348665,20250403-1324-1-0110-0791.jpg,2025-04-03 23:42:37,2025-04-03 23:42:24.350946,12.649054,2
3348664,20250403-1323-2-0110-0791.jpg,2025-04-03 23:42:22,2025-04-03 23:42:09.516041,12.483959,1
3348663,20250403-1323-1-0110-0791.jpg,2025-04-03 23:42:09,2025-04-03 23:41:57.741233,11.258767,0
3348662,20250403-1322-2-0110-0791.jpg,2025-04-03 23:41:57,2025-04-03 23:41:46.057406,10.942594,3
3348661,20250403-1322-1-0110-0791.jpg,2025-04-03 23:41:46,2025-04-03 23:41:34.303018,11.696982,1
3348660,20250403-1321-2-0110-0791.jpg,2025-04-03 23:41:34,2025-04-03 23:41:22.506327,11.493673,3
3348659,20250403-1321-1-0110-0791.jpg,2025-04-03 23:41:23,2025-04-03 23:41:10.831040,12.16896,3
3348658,20250403-1320-2-0110-0791.jpg,2025-04-03 23:41:10,2025-04-03 23:40:59.055129,10.944871,0
3348657,20250403-1320-1-0110-0791.jpg,2025-04-03 23:41:00,2025-04-03 23:40:47.779228,12.220772,2
3348656,20250403-1319-2-0110-0791.jpg,2025-04-03 23:40:47,2025-04-03 23:40:35.547260,11.45274,0
3348655,20250403-1319-1-0110-0791.jpg,2025-04-03 23:40:37,2025-04-03 23:40:24.218755,12.781245,1
3348654,20250403-1318-2-0110-0791.jpg,2025-04-03 23:40:24,2025-04-03 23:40:12.434822,11.565178,2
3348653,20250403-1318-1-0110-0791.jpg,2025-04-03 23:40:13,2025-04-03 23:40:00.673991,12.326009,1
3348652,20250403-1317-2-0110-0791.jpg,2025-04-03 23:40:01,2025-04-03 23:39:48.959359,12.040641,1
3348651,20250403-1317-1-0110-0791.jpg,2025-04-03 23:39:50,2025-04-03 23:39:37.297198,12.702802,2
3348650,20250403-1316-2-0110-0791.jpg,2025-04-03 23:39:37,2025-04-03 23:39:25.280309,11.719691,0
3348648,20250403-1315-2-0110-0791.jpg,2025-04-03 23:38:28,2025-04-03 23:38:14.817382,13.182618,1
3348647,20250403-1315-1-0110-0791.jpg,2025-04-03 23:38:15,2025-04-03 23:38:03.032013,11.967987,2
3348646,20250403-1314-2-0110-0791.jpg,2025-04-03 23:38:04,2025-04-03 23:37:51.321158,12.678842,1
3348645,20250403-1314-1-0110-0791.jpg,2025-04-03 23:37:51,2025-04-03 23:37:39.964798,11.035202,2
3348644,20250403-1313-2-0110-0791.jpg,2025-04-03 23:37:39,2025-04-03 23:37:25.879759,13.120241,2
3348643,20250403-1313-1-0110-0791.jpg,2025-04-03 23:37:26,2025-04-03 23:37:14.521028,11.478972,2
3348642,20250403-1312-2-0110-0791.jpg,2025-04-03 23:37:15,2025-04-03 23:37:02.854265,12.145735,1
3348641,20250403-1312-1-0110-0791.jpg,2025-04-03 23:37:04,2025-04-03 23:36:50.896152,13.103848,2
3348640,20250403-1311-2-0110-0791.jpg,2025-04-03 23:36:51,2025-04-03 23:36:39.180679,11.819321,0
3348639,20250403-1311-1-0110-0791.jpg,2025-04-03 23:36:39,2025-04-03 23:36:27.562766,11.437234,0
3348638,20250403-1310-2-0110-0791.jpg,2025-04-03 23:36:13,2025-04-03 23:36:01.591189,11.408811,3
3348637,20250403-1310-1-0110-0791.jpg,2025-04-03 23:35:16,2025-04-03 23:35:04.287429,11.712571,2
3348636,20250403-1309-2-0110-0791.jpg,2025-04-03 23:34:58,2025-04-03 23:34:46.355929,11.644071,0
3348635,20250403-1309-1-0110-0791.jpg,2025-04-03 23:34:47,2025-04-03 23:34:35.026408,11.973592,1
3348634,20250403-1308-2-0110-0791.jpg,2025-04-03 23:34:34,2025-04-03 23:34:23.324364,10.675636,2
3348633,20250403-1308-1-0110-0791.jpg,2025-04-03 23:34:24,2025-04-03 23:34:11.537322,12.462678,1
3348632,20250403-1307-2-0110-0791.jpg,2025-04-03 23:34:11,2025-04-03 23:33:59.844004,11.155996,0
3348631,20250403-1307-1-0110-0791.jpg,2025-04-03 23:34:00,2025-04-03 23:33:48.511698,11.488302,2
3348630,20250403-1306-2-0110-0791.jpg,2025-04-03 23:33:47,2025-04-03 23:33:36.300541,10.699459,1
3348629,20250403-1306-1-0110-0791.jpg,2025-04-03 23:33:37,2025-04-03 23:33:24.876933,12.123067,1
3348628,20250403-1305-2-0110-0791.jpg,2025-04-03 23:33:24,2025-04-03 23:33:13.145956,10.854044,2
3348627,20250403-1305-1-0110-0791.jpg,2025-04-03 23:33:14,2025-04-03 23:33:01.482951,12.517049,2
3348626,20250403-1304-2-0110-0791.jpg,2025-04-03 23:33:01,2025-04-03 23:32:49.661838,11.338162,2
3348625,20250403-1304-1-0110-0791.jpg,2025-04-03 23:32:50,2025-04-03 23:32:38.308639,11.691361,1
3348624,20250403-1303-2-0110-0791.jpg,2025-04-03 23:32:38,2025-04-03 23:32:26.521434,11.478566,1
3348623,20250403-1303-1-0110-0791.jpg,2025-04-03 23:32:23,2025-04-03 23:32:10.586182,12.413818,0
3348622,20250403-1302-2-0110-0791.jpg,2025-04-03 23:32:10,2025-04-03 23:31:58.801459,11.198541,1
3348621,20250403-1302-1-0110-0791.jpg,2025-04-03 23:31:40,2025-04-03 23:31:27.388270,12.61173,1
3348620,20250403-1301-2-0110-0791.jpg,2025-04-03 23:31:29,2025-04-03 23:31:15.663828,13.336172,1
3348619,20250403-1301-1-0110-0791.jpg,2025-04-03 23:31:16,2025-04-03 23:31:03.799168,12.200832,0
3348618,20250403-1300-2-0110-0791.jpg,2025-04-03 23:31:05,2025-04-03 23:30:52.078118,12.921882,3
3348617,20250403-1300-1-0110-0791.jpg,2025-04-03 23:30:53,2025-04-03 23:30:40.334688,12.665312,2
3348616,20250403-1299-2-0110-0791.jpg,2025-04-03 23:30:40,2025-04-03 23:30:28.569844,11.430156,3
3348615,20250403-1299-1-0110-0791.jpg,2025-04-03 23:30:29,2025-04-03 23:30:17.199607,11.800393,1
3348614,20250403-1298-2-0110-0791.jpg,2025-04-03 23:30:16,2025-04-03 23:30:05.438791,10.561209,3
3348613,20250403-1298-1-0110-0791.jpg,2025-04-03 23:30:06,2025-04-03 23:29:53.631423,12.368577,2
3348612,20250403-1297-2-0110-0791.jpg,2025-04-03 23:29:53,2025-04-03 23:29:41.909941,11.090059,0
3348611,20250403-1297-1-0110-0791.jpg,2025-04-03 23:29:42,2025-04-03 23:29:30.216833,11.783167,0
3348610,20250403-1296-2-0110-0791.jpg,2025-04-03 23:29:31,2025-04-03 23:29:18.352062,12.647938,1
3348609,20250403-1296-1-0110-0791.jpg,2025-04-03 23:29:20,2025-04-03 23:29:07.166509,12.833491,6
3348608,20250403-1295-2-0110-0791.jpg,2025-04-03 23:29:08,2025-04-03 23:28:55.522867,12.477133,1
3348607,20250403-1295-1-0110-0791.jpg,2025-04-03 23:28:57,2025-04-03 23:28:43.545994,13.454006,2
3348606,20250403-1294-2-0110-0791.jpg,2025-04-03 23:28:31,2025-04-03 23:28:18.113980,12.88602,1
3348605,20250403-1294-1-0110-0791.jpg,2025-04-03 23:28:18,2025-04-03 23:28:06.450622,11.549378,2
3348604,20250403-1293-2-0110-0791.jpg,2025-04-03 23:28:08,2025-04-03 23:27:54.648328,13.351672,1
3348603,20250403-1293-1-0110-0791.jpg,2025-04-03 23:27:55,2025-04-03 23:27:42.928748,12.071252,3
3348602,20250403-1292-2-0110-0791.jpg,2025-04-03 23:27:44,2025-04-03 23:27:31.155836,12.844164,1
3348601,20250403-1292-1-0110-0791.jpg,2025-04-03 23:27:31,2025-04-03 23:27:19.841542,11.158458,1
