id_imagem,imagem,data_hora_hora_processamento,data_hora_registro,time_difference_seconds,num_lesoes
3385554,20250422-1435-1-0110-0791.jpg,2025-04-22 23:59:59,2025-04-22 23:59:46.050869,12.949131,2
3385553,20250422-1434-2-0110-0791.jpg,2025-04-22 23:59:44,2025-04-22 23:59:30.458081,13.541919,2
3385552,20250422-1434-1-0110-0791.jpg,2025-04-22 23:59:26,2025-04-22 23:59:13.170854,12.829146,2
3385551,20250422-1433-2-0110-0791.jpg,2025-04-22 23:59:13,2025-04-22 23:59:00.897716,12.102284,2
3385550,20250422-1433-1-0110-0791.jpg,2025-04-22 23:59:02,2025-04-22 23:58:49.105019,12.894981,3
3385549,20250422-1432-2-0110-0791.jpg,2025-04-22 23:58:15,2025-04-22 23:58:02.529706,12.470294,1
3385548,20250422-1432-1-0110-0791.jpg,2025-04-22 23:58:02,2025-04-22 23:57:50.335803,11.664197,1
3385547,20250422-1431-2-0110-0791.jpg,2025-04-22 23:57:31,2025-04-22 23:57:19.715017,11.284983,1
3385546,20250422-1431-1-0110-0791.jpg,2025-04-22 23:57:21,2025-04-22 23:57:08.007248,12.992752,2
3385545,20250422-1430-2-0110-0791.jpg,2025-04-22 23:56:54,2025-04-22 23:56:42.445771,11.554229,2
3385544,20250422-1430-1-0110-0791.jpg,2025-04-22 23:56:43,2025-04-22 23:56:30.278692,12.721308,4
3385543,20250422-1429-2-0110-0791.jpg,2025-04-22 23:56:29,2025-04-22 23:56:17.939490,11.06051,2
3385542,20250422-1429-1-0110-0791.jpg,2025-04-22 23:56:18,2025-04-22 23:56:05.806769,12.193231,1
3385541,20250422-1428-2-0110-0791.jpg,2025-04-22 23:56:08,2025-04-22 23:55:54.070103,13.929897,2
3385540,20250422-1428-1-0110-0791.jpg,2025-04-22 23:55:54,2025-04-22 23:55:41.700706,12.299294,1
3385539,20250422-1427-2-0110-0791.jpg,2025-04-22 23:55:41,2025-04-22 23:55:30.106895,10.893105,1
3385538,20250422-1427-1-0110-0791.jpg,2025-04-22 23:55:31,2025-04-22 23:55:17.785157,13.214843,1
3385537,20250422-1426-2-0110-0791.jpg,2025-04-22 23:55:18,2025-04-22 23:55:05.514514,12.485486,3
3385536,20250422-1426-1-0110-0791.jpg,2025-04-22 23:55:00,2025-04-22 23:54:48.091204,11.908796,1
3385535,20250422-1425-2-0110-0791.jpg,2025-04-22 23:54:47,2025-04-22 23:54:36.053112,10.946888,1
3385534,20250422-1425-1-0110-0791.jpg,2025-04-22 23:54:37,2025-04-22 23:54:23.791868,13.208132,1
3385533,20250422-1424-2-0110-0791.jpg,2025-04-22 23:54:24,2025-04-22 23:54:12.025802,11.974198,1
3385532,20250422-1424-1-0110-0791.jpg,2025-04-22 23:54:13,2025-04-22 23:53:59.590701,13.409299,3
3385531,20250422-1423-2-0110-0791.jpg,2025-04-22 23:53:59,2025-04-22 23:53:47.902031,11.097969,2
3385530,20250422-1423-1-0110-0791.jpg,2025-04-22 23:53:48,2025-04-22 23:53:35.711434,12.288566,2
3385529,20250422-1422-2-0110-0791.jpg,2025-04-22 23:53:36,2025-04-22 23:53:23.902669,12.097331,3
3385528,20250422-1422-1-0110-0791.jpg,2025-04-22 23:53:14,2025-04-22 23:53:02.319219,11.680781,0
