id_imagem,imagem,data_hora_hora_processamento,data_hora_registro,time_difference_seconds,num_lesoes
3508228,20250626-1330-2-0110-0791.jpg,2025-06-26 23:59:51,2025-06-26 23:59:38.280246,12.719754,2
3508227,20250626-1330-1-0110-0791.jpg,2025-06-26 23:59:39,2025-06-26 23:59:26.086397,12.913603,2
3508226,20250626-1329-2-0110-0791.jpg,2025-06-26 23:59:28,2025-06-26 23:59:14.204908,13.795092,3
3508225,20250626-1329-1-0110-0791.jpg,2025-06-26 23:59:07,2025-06-26 23:58:53.450959,13.549041,1
3508223,20250626-1328-1-0110-0791.jpg,2025-06-26 23:58:31,2025-06-26 23:58:15.875103,15.124897,3
3508222,20250626-1327-2-0110-0791.jpg,2025-06-26 23:58:19,2025-06-26 23:58:03.614600,15.3854,4
3508221,20250626-1327-1-0110-0791.jpg,2025-06-26 23:58:04,2025-06-26 23:57:51.758751,12.241249,1
3508220,20250626-1326-2-0110-0791.jpg,2025-06-26 23:57:53,2025-06-26 23:57:39.349176,13.650824,2
3508218,20250626-1325-2-0110-0791.jpg,2025-06-26 23:56:59,2025-06-26 23:56:44.912588,14.087412,2
3508217,20250626-1325-1-0110-0791.jpg,2025-06-26 23:56:44,2025-06-26 23:56:32.948978,11.051022,0
3508216,20250626-1324-2-0110-0791.jpg,2025-06-26 23:56:35,2025-06-26 23:56:21.360367,13.639633,2
3508215,20250626-1324-1-0110-0791.jpg,2025-06-26 23:56:23,2025-06-26 23:56:09.030375,13.969625,2
3508214,20250626-1323-2-0110-0791.jpg,2025-06-26 23:56:12,2025-06-26 23:55:57.183744,14.816256,2
3508213,20250626-1323-1-0110-0791.jpg,2025-06-26 23:55:35,2025-06-26 23:55:21.331375,13.668625,2
3508212,20250626-1322-2-0110-0791.jpg,2025-06-26 23:55:24,2025-06-26 23:55:09.667057,14.332943,3
3508211,20250626-1322-1-0110-0791.jpg,2025-06-26 23:55:11,2025-06-26 23:54:57.869064,13.130936,2
3508210,20250626-1321-2-0110-0791.jpg,2025-06-26 23:54:59,2025-06-26 23:54:45.380490,13.61951,1
3508209,20250626-1321-1-0110-0791.jpg,2025-06-26 23:54:43,2025-06-26 23:54:32.817420,10.18258,0
3508208,20250626-1320-2-0110-0791.jpg,2025-06-26 23:54:34,2025-06-26 23:54:21.268965,12.731035,1
3508207,20250626-1320-1-0110-0791.jpg,2025-06-26 23:54:22,2025-06-26 23:54:08.808801,13.191199,3
